target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,elementary,,50000,0,0,0,2.2842517921,25.57260274,1.9506849315,2,2,2.7397260274,264
0,OTHER,elementary,Corporate,46876,0,1,,,31.571038251,7.0729695336,,,4.5551613145,270
0,OTHER,advanced,,65000,0,0,1,-1,40.925645632,21.204334157,1,1,13.021274047,274
0,OTHER,elementary,,150000,0,0,1,0.3761648746,40.25713751,1.9808219178,0,0,4.1205254884,277
0,OTHER,beginner,Corporate,176109,0,1,3,0.695766129,28.669398907,7.170589116,1,1,7.9672131148,283
0,OTHER,beginner,Corporate,176109,0,1,3,0.695766129,28.669398907,7.170589116,1,1,7.9672131148,285
0,OTHER,beginner,Corporate,176109,0,1,3,0.695766129,28.669398907,7.170589116,1,1,7.9672131148,286
0,OTHER,elementary,,35000,0,0,,,58.046575342,10.4,,,5.3672804851,291
0,OTHER,elementary,Corporate,55371,0,1,1,0.570766129,25.390620555,0.6700726102,0,0,5.3577438431,294
0,OTHER,advanced,Corporate,22482,0,1,0,15.310909498,41.985867206,7.4180327869,0,0,1.2954562467,296
0,OTHER,advanced,,60000,0,0,1,0.8965949821,38.794520548,7.2931506849,1,1,11.243835616,309
0,OTHER,high,Corporate,31007,0,1,0,21.407078853,47.715629912,0.3797814208,0,0,2.6443970357,311
0,OTHER,advanced,,50000,0,0,1,1.115703405,30.315068493,4.8283030167,0,0,8.0054794521,321
0,OTHER,elementary,Corporate,18328,0,1,0,,31.133243506,0.8565311775,0,0,9.9770791227,329
0,OTHER,advanced,Corporate,62389,0,0,1,0.28125,48.235616438,7.6328767123,1,3,3.2,331
0,OTHER,elementary,Corporate,77647,0,1,1,3.3453629032,33.417830676,10.406871772,0,0,9.5602964294,334
0,OTHER,advanced,Corporate,15461,0,1,1,1.9888664875,28.535983232,1.7003667939,0,0,4.6455722734,337
0,OTHER,elementary,Corporate,26512,0,1,0,56.307549283,48.982027098,0.8724380567,0,1,3.8825136612,347
0,2NDFL,elementary,Corporate,77608,0,0,1,0.4450268817,30.624657534,0.705224942,1,1,10.189041096,350
0,OTHER,elementary,Corporate,105790,0,1,,,47.221311475,0.9970207351,,,2.1148289543,352
0,OTHER,elementary,VIP,210000,0,0,,,37.242593008,8.0301369863,,,11.224657534,358
0,OTHER,elementary,Corporate,201278,0,1,1,0.317405914,45.868493151,4.0246575342,1,1,0.8427951194,366
0,OTHER,elementary,,100000,0,0,1,0.5659498208,38.019178082,6.2767123288,0,0,6.3232876712,369
0,OTHER,elementary,,100000,0,0,1,0.5659498208,38.019178082,6.2767123288,0,0,6.3232876712,370
0,OTHER,elementary,Corporate,35761,0,1,,,29.170461861,1.0802979265,,,6.7205479452,371
0,2NDFL,advanced,,30569,0,0,2,0.8203405018,38.583561644,16.631731417,0,0,11.271232877,374
0,2NDFL,elementary,,57907,0,0,,,27.126027397,2.7643835616,,,6.9561643836,382
0,OTHER,elementary,,30000,0,0,,,38.98630137,17.928767123,,,4.9629089004,394
0,OTHER,elementary,Corporate,50569,0,1,1,0.7632168459,26.602986751,0.412568306,0,0,4.1994535519,396
0,2NDFL,elementary,,43500,0,0,1,0.7260304659,47.680013474,1.3813833371,2,2,2.6580956658,398
0,2NDFL,elementary,,82662,0,0,,,32.205479452,4.4246575342,,,6.3808219178,411
0,OTHER,elementary,,30000,0,0,0,1.6056227599,33.742465753,1.3543378995,1,1,9.9342465753,419
0,OTHER,elementary,,30000,0,0,0,1.6056227599,33.742465753,1.3543378995,1,1,9.9342465753,421
0,2NDFL,high,,31926,0,0,0,11.341845878,33.545205479,2.0849315068,2,2,3.7561643836,423
0,2NDFL,elementary,,83002,0,0,0,0.5377688172,37.384953964,5.4068717718,0,0,11.371255333,427
0,2NDFL,beginner,,87000,0,0,0,14.597603047,38.970252264,14.989430347,1,1,9.6113481548,428
0,OTHER,advanced,Corporate,14199,0,1,0,6.7000448029,40.521940265,6.719200539,0,0,9.927419717,431
0,OTHER,advanced,,140000,0,0,,,36.126027397,0.3397260274,,,3.6547945205,433
0,OTHER,elementary,Corporate,48092,0,1,,,43.665753425,1.2443296654,,,10.405479452,434
0,OTHER,elementary,Corporate,95960,0,1,1,0.7291218638,30.356164384,1.8630136986,0,0,9.0745265364,439
0,OTHER,elementary,,50000,0,0,,,30.216438356,0.5093569878,,,9.2552586271,443
0,OTHER,high,Corporate,46976,0,1,,,26.191346658,2.1283329591,,,6.1118946029,444
0,2NDFL,high,,39672,0,0,1,1.0867159498,38.381705217,13.362527135,0,0,5.039239464,449
0,OTHER,elementary,Corporate,60243,0,1,,,25.10830152,0.8869900442,,,5.0263343065,455
0,OTHER,elementary,,100000,0,0,,,36.01369863,1.3552511416,,,11.652054795,458
0,OTHER,advanced,Corporate,31145,0,1,,,31.180821918,0.6377722883,,,5.9589041096,469
0,OTHER,advanced,Corporate,19960,0,1,0,,54.60894528,1.4610000749,,,6.4527808968,470
0,OTHER,beginner,,19000,0,0,,,31.912568306,7.0642188787,,,9.6779175088,478
0,2NDFL,advanced,,55301,0,0,0,,52.079234973,6.3736432368,0,0,6.9188487162,480
0,OTHER,elementary,Corporate,187238,0,1,,,31.868493151,4.6760236545,,,11.8,482
